"Sample ID","Sample top depth (m)","Sample bottom depth (m)","Sample Top Date (BP 1950)","Sample Bottom Date (BP 1950)","Mid Depth Date","Cl (µEq/L)","NO3 (µEq/L)","SO4 (µEq/L)","Na (µEq/L)","Mg (µEq/L)","nssSO4 (µEq/L)"
531,143.98,144.03,150.084,150.167,150.126,8.407,0.183,1.288,7.288,1.266,0.653
532,144.03,144.08,150.167,150.25,150.209,9.385,0.219,0.841,7.839,1.524,0.158
533,144.08,144.13,150.25,150.333,150.292,7.381,0.215,0.556,5.641,1.31,0.065
534,144.13,144.18,150.333,150.416,150.375,7.984,0.223,0.748,6.811,1.189,0.154
535,144.18,144.23,150.416,150.498,150.457,5.546,0.192,0.531,4.481,1.05,0.141
536,144.23,144.28,150.498,150.581,150.54,6.442,0.222,0.66,5.392,1.102,0.19
537,144.28,144.33,150.581,150.664,150.623,5.421,0.269,0.549,4.224,0.798,0.181
538,144.33,144.38,150.664,150.747,150.706,2.122,0.593,1.041,1.347,0.286,0.924
539,144.38,144.43,150.747,150.829,150.788,1.147,0.445,0.84,0.859,0.144,0.765
540,144.43,144.48,150.829,150.912,150.871,1.527,0.559,0.976,0.949,0.193,0.894
541,144.48,144.53,150.912,150.995,150.954,0.555,0.39,0.848,0.412,0.078,0.812
542,144.53,144.58,150.995,151.081,151.038,1.214,0.407,0.745,0.791,0.138,0.676
543,144.58,144.63,151.081,151.166,151.124,1.28,0.364,0.77,0.918,0.186,0.69
544,144.77,144.82,151.407,151.492,151.45,4.308,0.358,0.497,3.552,0.717,0.187
545,144.82,144.87,151.492,151.578,151.535,5.214,0.398,0.575,4.048,1.072,0.223
546,144.87,144.92,151.578,151.664,151.621,9.088,0.444,0.878,7.949,1.351,0.185
547,144.92,144.97,151.664,151.75,151.707,5.677,0.416,1.108,4.474,1.119,0.718
548,144.97,145.02,151.75,151.835,151.793,3.631,0.446,1.244,2.879,0.643,0.994
549,145.02,145.07,151.835,151.921,151.878,1.864,0.505,1.062,1.354,0.248,0.944
550,145.07,145.12,151.921,152.006,151.964,2.831,0.21,0.908,2.307,0.402,0.707
551,145.12,145.17,152.006,152.086,152.046,1.045,0.363,0.784,0.76,0.142,0.718
552,145.17,145.22,152.086,152.165,152.126,1.572,0.736,0.976,0.884,0.21,0.899
553,145.22,145.27,152.165,152.245,152.205,6.704,0.547,1.046,5.423,0.971,0.574
554,145.27,145.32,152.245,152.324,152.285,7.228,0.513,0.785,5.619,1.183,0.295
555,145.32,145.37,152.324,152.404,152.364,6.983,0.415,0.564,5.923,1.237,0.048
556,145.37,145.42,152.404,152.483,152.444,4.057,0.465,0.589,2.755,0.932,0.349
557,145.42,145.47,152.483,152.563,152.523,8.463,0.269,0.922,7.643,1.366,0.256
558,145.47,145.52,152.563,152.642,152.603,7.191,0.349,1.009,6.157,1.184,0.473
559,145.52,145.57,152.642,152.722,152.682,2.496,0.342,0.642,1.877,0.579,0.478
560,145.57,145.62,152.722,152.801,152.762,1.603,0.413,0.593,1.362,0.293,0.474
561,145.62,145.67,152.801,152.881,152.841,2.645,0.507,1.022,2.235,0.421,0.827
564,145.67,145.72,152.881,152.96,152.921,2.186,0.749,1.476,1.004,0.107,1.389
565,145.72,145.77,152.96,153.048,153.004,0.951,0.384,0.751,0.567,0.098,0.702
566,145.77,145.81,153.048,153.125,153.087,1.381,0.365,0.686,1.049,0.197,0.595
567,145.81,145.85,153.125,153.202,153.164,7.994,0.326,1.79,6.844,1.392,1.194
568,145.85,145.9,153.202,153.299,153.251,9.116,0.299,0.78,6.885,1.669,0.18
569,145.9,145.95,153.299,153.395,153.347,10.782,0.215,1.39,9.542,2.03,0.559
570,145.95,146,153.395,153.491,153.443,11.119,0.129,1.651,9.919,1.902,0.787
571,146,146.05,153.491,153.588,153.54,7.615,0.185,0.969,6.439,1.314,0.408
572,146.05,146.1,153.588,153.684,153.636,6.128,0.159,0.859,5.179,1.101,0.408
573,146.1,146.15,153.684,153.78,153.732,3.871,0.216,0.679,3.409,0.73,0.383
574,146.15,146.2,153.78,153.877,153.829,1.521,0.32,0.779,1.164,0.211,0.677
575,146.2,146.25,153.877,153.973,153.925,1.119,0.465,0.733,0.82,0.14,0.662
576,146.25,146.3,153.973,154.07,154.022,0.403,0.386,0.795,0.272,0.039,0.771
577,146.3,146.35,154.07,154.167,154.119,1.933,0.849,1.264,1.258,0.181,1.154
578,146.35,146.4,154.167,154.265,154.216,3.037,0.356,0.782,2.626,0.66,0.553
579,146.4,146.45,154.265,154.362,154.314,6.88,0.234,0.905,6.223,1.039,0.363
580,146.45,146.5,154.362,154.459,154.411,8.789,0.219,0.742,7.855,1.383,0.058
581,146.5,146.55,154.459,154.556,154.508,7.268,0.233,0.712,6.469,1.406,0.148
582,146.55,146.6,154.556,154.654,154.605,4.59,0.269,0.609,3.68,0.885,0.288
583,146.6,146.65,154.654,154.751,154.703,3.996,0.172,0.42,3.395,0.592,0.124
584,146.65,146.69,154.751,154.829,154.79,1.991,0.202,0.961,1.747,0.589,0.809
585,146.69,146.74,154.829,154.926,154.878,0.8,0.283,0.798,0.726,0.128,0.734
586,146.74,146.79,154.926,155.021,154.974,0.457,0.442,0.748,0.304,0.053,0.721
587,146.79,146.84,155.021,155.11,155.066,0.431,0.307,0.568,0.328,0.063,0.539
588,146.84,146.89,155.11,155.199,155.155,1.955,0.496,1.266,1.583,0.325,1.128
589,146.89,146.94,155.199,155.287,155.243,5.09,0.309,0.815,3.468,0.712,0.513
590,146.94,146.99,155.287,155.376,155.332,4.935,0.184,0.568,4.201,0.875,0.202
591,146.99,147.04,155.376,155.465,155.421,5.078,0.172,0.561,4.289,0.77,0.187
592,147.04,147.09,155.465,155.553,155.509,4.143,0.11,0.405,3.395,0.627,0.109
593,147.09,147.14,155.553,155.642,155.598,2.099,0.116,0.273,1.773,0.354,0.119
594,147.14,147.19,155.642,155.731,155.687,2.436,0.176,0.326,1.887,0.387,0.162
595,147.19,147.24,155.731,155.819,155.775,5.267,0.239,1.252,4.641,1.039,0.847
596,147.24,147.29,155.819,155.908,155.864,1.98,0.147,0.836,1.691,0.351,0.688
597,147.29,147.34,155.908,155.996,155.952,1.125,0.75,1.642,0.724,0.13,1.579
598,147.34,147.39,155.996,156.078,156.037,0.953,1.129,1.29,0.479,0.087,1.248
599,147.39,147.44,156.078,156.16,156.119,0.579,0.162,0.57,0.384,0.076,0.537
600,147.44,147.49,156.16,156.241,156.201,1.333,0.182,0.412,0.992,0.246,0.326
601,147.49,147.54,156.241,156.322,156.282,4.094,0.168,0.68,3.687,0.694,0.359
602,147.54,147.58,156.322,156.388,156.355,6.207,0.22,1.487,5.708,1.053,0.99
603,147.58,147.63,156.388,156.469,156.429,4.682,0.209,0.498,3.643,0.978,0.18
604,147.63,147.68,156.469,156.55,156.51,8.409,0.237,0.862,7.744,1.288,0.187
607,147.68,147.72,156.55,156.616,156.583,7.058,0.169,0.556,6.069,1.346,0.027
608,147.72,147.77,156.616,156.697,156.657,7.112,0.183,0.455,5.64,1.309,-0.036
609,147.77,147.82,156.697,156.779,156.738,2.845,0.186,0.472,2.447,0.434,0.259
610,147.82,147.87,156.779,156.86,156.82,1.708,0.22,0.432,1.481,0.279,0.303
611,147.87,147.92,156.86,156.941,156.901,2.458,0.865,1.081,1.929,0.325,0.913
612,147.92,147.97,156.941,157.019,156.98,3.499,1.105,1.304,2.79,0.427,1.061
613,147.97,148.02,157.019,157.086,157.053,4.171,0.626,1.27,3.912,0.637,0.929
614,148.02,148.07,157.086,157.154,157.12,3.811,0.324,0.793,3.243,0.497,0.511
615,148.07,148.12,157.154,157.221,157.188,4.96,0.313,0.73,4.154,0.694,0.368
616,148.12,148.17,157.221,157.288,157.255,5.937,0.293,0.658,4.995,0.949,0.223
617,148.17,148.22,157.288,157.356,157.322,8.563,0.279,0.93,8.105,1.175,0.224
618,148.22,148.27,157.356,157.423,157.39,1.775,0.495,0.732,1.322,0.509,0.617
619,148.27,148.32,157.423,157.491,157.457,3.356,0.217,0.318,2.87,0.51,0.068
620,148.32,148.37,157.491,157.558,157.525,4.058,0.215,0.444,3.494,0.756,0.14
621,148.37,148.42,157.558,157.625,157.592,4.16,0.148,0.436,3.68,0.768,0.115
622,148.42,148.47,157.625,157.693,157.659,12.548,0.136,1.49,11.839,1.871,0.459
623,148.47,148.52,157.693,157.76,157.727,6.394,0.08,0.629,5.388,1.25,0.16
624,148.52,148.57,157.76,157.828,157.794,2.293,0.231,0.601,1.928,0.449,0.433
625,148.57,148.62,157.828,157.895,157.862,1.19,0.502,0.555,0.965,0.195,0.471
626,148.62,148.66,157.895,157.949,157.922,1.923,0.321,0.685,1.468,0.25,0.557
627,148.66,148.71,157.949,158.017,157.983,2.717,0.244,0.799,2.337,0.412,0.595
628,148.71,148.76,158.017,158.086,158.052,2.139,0.444,0.999,1.656,0.309,0.855
629,148.76,148.81,158.086,158.156,158.121,4.107,0.315,0.878,3.393,0.771,0.582
630,148.81,148.86,158.156,158.226,158.191,8.231,0.219,0.766,7.378,1.256,0.123
631,148.86,148.91,158.226,158.296,158.261,4.295,0.23,0.518,3.615,0.817,0.203
632,148.91,148.96,158.296,158.365,158.331,3.328,0.204,0.374,2.781,0.61,0.132
633,148.96,149.01,158.365,158.435,158.4,4.146,0.187,0.422,3.511,0.761,0.117
634,149.01,149.06,158.435,158.505,158.47,5.391,0.169,0.454,4.564,0.988,0.056
635,149.06,149.11,158.505,158.575,158.54,5.914,0.157,0.747,4.917,1.118,0.319
636,149.11,149.16,158.575,158.644,158.61,5.1,0.233,0.806,4.329,1.074,0.429
637,149.16,149.21,158.644,158.714,158.679,1.185,0.384,0.475,0.847,0.218,0.401
638,149.21,149.26,158.714,158.784,158.749,10.88,0.145,2.116,9.644,2.046,1.276
639,149.26,149.31,158.784,158.854,158.819,5.892,0.225,1.015,4.907,1.108,0.587
640,149.31,149.36,158.854,158.923,158.889,5.516,0.449,1.083,4.497,0.665,0.691
641,149.36,149.41,158.923,158.993,158.958,1.392,0.377,0.98,1.011,0.235,0.892
642,149.41,149.46,158.993,159.066,159.03,0.466,0.281,0.47,0.19,0.037,0.453
643,149.46,149.51,159.066,159.14,159.103,1.147,0.252,0.806,0.874,0.146,0.73
644,149.51,149.56,159.14,159.214,159.177,3.428,0.374,0.994,2.69,0.499,0.759
645,149.56,149.6,159.214,159.273,159.244,1.46,0.236,0.279,1.23,0.237,0.172
648,149.67,149.72,159.376,159.45,159.413,13.023,0.179,1.218,12.543,1.852,0.125
649,149.72,149.77,159.45,159.524,159.487,8.102,0.137,0.725,7.004,1.532,0.115
650,149.77,149.82,159.524,159.597,159.561,6.957,0.113,0.516,5.668,1.279,0.023
651,149.82,149.87,159.597,159.671,159.634,8.18,0.113,0.584,7.089,1.429,-0.033
652,149.87,149.92,159.671,159.745,159.708,4.294,0.111,0.594,3.964,0.695,0.249
653,149.92,149.97,159.745,159.819,159.782,2.457,0.169,0.559,2.116,0.472,0.375
654,149.97,150.02,159.819,159.892,159.856,1.926,0.357,0.774,1.549,0.286,0.639
655,150.02,150.07,159.892,159.966,159.929,1.113,0.685,0.771,0.707,0.129,0.709
656,150.07,150.12,159.966,160.036,160.001,1.456,0.897,0.838,0.838,0.142,0.765
657,150.12,150.17,160.036,160.104,160.07,6.533,0.519,1.275,6.611,1.024,0.699
658,150.17,150.22,160.104,160.171,160.138,3.199,0.318,0.685,2.234,0.782,0.49
659,150.22,150.27,160.171,160.239,160.205,9.307,0.324,1.124,8.649,1.434,0.371
660,150.27,150.32,160.239,160.306,160.273,5.267,0.294,0.662,4.392,1.201,0.279
661,150.32,150.37,160.306,160.373,160.34,5.299,0.362,0.547,4.745,0.995,0.134
662,150.37,150.42,160.373,160.441,160.407,8.82,0.367,0.895,8.728,1.14,0.135
663,150.42,150.47,160.441,160.508,160.475,4.778,0.327,0.412,3.968,0.94,0.066
664,150.47,150.52,160.508,160.575,160.542,7.013,"NaN","NaN",6.724,1.179,"NaN"
665,150.52,150.57,160.575,160.643,160.609,4.708,0.261,0.702,4.241,0.828,0.332
666,150.57,150.62,160.643,160.71,160.677,7.282,0.183,1.036,7.249,1.216,0.404
667,150.62,150.67,160.71,160.778,160.744,2.756,0.165,0.679,2.156,0.678,0.491
668,150.68,150.73,160.791,160.858,160.825,4.461,0.257,0.944,4.078,0.775,0.589
669,150.73,150.78,160.858,160.926,160.892,10.922,0.173,1.795,10.224,1.676,0.904
670,150.78,150.83,160.926,160.993,160.96,1.864,0.489,0.807,1.261,0.458,0.697
671,150.83,150.88,160.993,161.092,161.043,0.786,0.524,0.641,0.482,0.091,0.599
672,150.88,150.93,161.092,161.195,161.144,0.879,0.532,0.562,0.543,0.108,0.514
673,150.93,150.98,161.195,161.297,161.246,1.847,0.479,0.474,1.357,0.332,0.356
674,150.98,151.03,161.297,161.4,161.349,9.248,0.218,0.801,8.283,1.605,0.08
675,151.03,151.08,161.4,161.502,161.451,13.844,0.183,1.164,12.748,2.123,0.054
676,151.08,151.13,161.502,161.605,161.554,8.421,0.224,0.8,7.231,1.702,0.17
677,151.13,151.18,161.605,161.707,161.656,5.613,0.319,0.615,5.26,0.914,0.156
678,151.18,151.23,161.707,161.809,161.758,2.861,0.182,0.511,2.724,0.449,0.274
679,151.23,151.28,161.809,161.912,161.861,3.461,0.391,1.395,3.126,0.579,1.122
680,151.28,151.33,161.912,162.015,161.964,0.971,0.487,0.998,0.731,0.136,0.934
681,151.33,151.38,162.015,162.125,162.07,2.699,0.715,1.107,1.914,0.36,0.94
682,151.38,151.43,162.125,162.235,162.18,4.202,0.5,0.948,3.345,0.591,0.657
683,151.43,151.48,162.235,162.344,162.29,6.479,0.255,1.207,5.629,1.116,0.717
686,151.66,151.71,162.739,162.849,162.794,1.173,0.299,0.477,0.941,0.227,0.395
687,151.71,151.75,162.849,162.936,162.893,0.698,0.285,0.793,0.564,0.103,0.744
688,151.75,151.8,162.936,163.047,162.992,1.133,0.65,1.175,0.912,0.145,1.095
689,151.8,151.85,163.047,163.158,163.103,1.413,0.411,0.713,1.072,0.185,0.619
690,151.85,151.9,163.158,163.269,163.214,1.561,0.249,0.493,1.253,0.331,0.384
691,151.9,151.95,163.269,163.38,163.325,4.701,0.224,0.62,3.81,0.823,0.289
692,151.95,152,163.38,163.491,163.436,8.832,0.207,0.835,8.083,1.576,0.131
693,152,152.05,163.491,163.602,163.547,8.903,0.232,1.057,8.395,1.533,0.326
694,152.05,152.1,163.602,163.713,163.658,4.693,0.212,0.479,4.134,0.616,0.118
695,152.1,152.15,163.713,163.824,163.769,2.21,0.252,0.42,1.789,0.407,0.264
696,152.15,152.2,163.824,163.936,163.88,0.88,0.242,0.535,0.697,0.128,0.475
697,152.2,152.25,163.936,164.037,163.987,1.566,0.508,1.024,1.143,0.223,0.925
698,152.25,152.3,164.037,164.125,164.081,1.636,0.256,0.497,1.372,0.257,0.378
699,152.3,152.35,164.125,164.212,164.169,4.957,0.167,0.788,4.302,0.788,0.413
700,152.35,152.4,164.212,164.3,164.256,7.628,0.116,0.803,6.723,1.142,0.218
701,152.4,152.45,164.3,164.388,164.344,4.703,0.221,0.507,3.982,0.854,0.16
702,152.45,152.5,164.388,164.475,164.432,5.488,0.306,0.419,4.899,0.929,-0.008
703,152.5,152.55,164.475,164.563,164.519,8.211,0.312,0.818,7.547,1.47,0.161
704,152.55,152.6,164.563,164.651,164.607,5.344,0.227,0.432,3.994,1.087,0.084
705,152.63,152.68,164.704,164.791,164.748,6.713,0.164,0.796,6.634,0.992,0.219
706,152.68,152.73,164.791,164.879,164.835,3.484,0.387,0.691,2.893,0.496,0.439
707,152.73,152.78,164.879,164.967,164.923,4.942,0.478,0.124,4.439,0.507,-0.263
708,152.78,152.83,164.967,165.059,165.013,3.944,0.388,0.958,4.079,0.593,0.603
709,152.83,152.88,165.059,165.154,165.107,1.446,0.491,1.181,0.866,0.494,1.106
710,152.88,152.93,165.154,165.249,165.202,7.123,0.153,0.711,6.164,0.778,0.174
711,152.93,152.98,165.249,165.344,165.297,5.39,0.162,0.525,4.445,0.997,0.137
712,152.98,153.03,165.344,165.439,165.392,14.796,0.141,1.032,13.4,1.942,-0.135
713,153.03,153.08,165.439,165.534,165.487,20.599,0.19,1.788,18.846,2.904,0.147
714,153.08,153.13,165.534,165.629,165.582,9.395,0.123,0.81,8.28,1.775,0.088
715,153.13,153.18,165.629,165.724,165.677,4.725,0.157,0.394,3.463,0.902,0.093
716,153.18,153.23,165.724,165.819,165.772,5.401,0.168,0.719,4.934,0.711,0.289
717,153.23,153.28,165.819,165.914,165.867,2.419,0.24,0.794,2.105,0.392,0.611
718,153.28,153.33,165.914,166.008,165.961,1.447,0.429,1.009,1.029,0.173,0.919
719,153.33,153.38,166.008,166.085,166.047,1.56,0.437,0.885,1.17,0.172,0.784
720,153.38,153.43,166.085,166.162,166.124,4.457,0.27,0.723,3.159,1.09,0.448
721,153.43,153.48,166.162,166.238,166.2,19.431,0.277,1.641,18.152,2.237,0.06
722,153.48,153.53,166.238,166.315,166.277,13.393,0.216,1.046,11.652,2.146,0.031
723,153.53,153.58,166.315,166.392,166.354,9.192,0.23,0.678,8.072,1.207,-0.025
726,153.58,153.62,166.392,166.454,166.423,1.972,0.286,0.307,1.499,0.369,0.177
727,153.62,153.67,166.454,166.531,166.493,1.056,0.333,0.381,0.763,0.353,0.314
728,153.67,153.72,166.531,166.608,166.57,5.06,0.271,0.343,4.449,0.544,-0.045
729,153.72,153.77,166.608,166.685,166.647,4.86,0.278,1.198,4.063,1.141,0.844
730,153.77,153.82,166.685,166.762,166.724,5.83,0.272,1.062,5.005,0.914,0.626
731,153.82,153.87,166.762,166.838,166.8,3.745,0.264,0.823,3.155,0.484,0.548
732,153.87,153.92,166.838,166.915,166.877,1.701,0.378,0.9,1.422,0.279,0.776
733,153.92,153.97,166.915,166.992,166.954,8.802,0.224,1.527,7.811,1.137,0.847
734,153.97,154.02,166.992,167.077,167.035,0.653,0.267,0.61,0.44,"NaN",0.571
735,154.02,154.07,167.077,167.164,167.121,3.856,0.191,0.904,3.357,0.558,0.612
736,154.07,154.12,167.164,167.25,167.207,6.714,0.359,0.93,6.392,1.142,0.373
737,154.12,154.17,167.25,167.336,167.293,7.362,0.427,0.824,6.66,1.185,0.244
738,154.17,154.22,167.336,167.422,167.379,6.012,0.451,0.555,5.345,1.063,0.089
739,154.22,154.27,167.422,167.508,167.465,6.906,0.29,0.509,5.994,1.134,-0.013
740,154.27,154.32,167.508,167.594,167.551,3.117,0.214,0.298,2.518,0.519,0.078
741,154.32,154.37,167.594,167.68,167.637,4.27,0.189,0.818,3.808,0.786,0.487
742,154.37,154.42,167.68,167.766,167.723,3.848,0.218,0.741,3.358,0.623,0.449
743,154.42,154.47,167.766,167.852,167.809,0.917,0.376,0.621,0.732,0.147,0.557
744,154.47,154.52,167.852,167.938,167.895,1.058,0.907,0.593,0.649,0.115,0.536
745,154.52,154.55,167.938,167.99,167.964,1.225,0.968,0.793,0.408,0.059,0.757
746,154.55,154.6,167.99,168.077,168.034,0.858,0.505,1.01,0.616,0.122,0.956
747,154.6,154.65,168.077,168.165,168.121,1.695,0.355,0.745,1.409,0.266,0.622
748,154.65,154.7,168.165,168.254,168.21,3.757,0.388,0.905,3.285,0.759,0.619
749,154.7,154.75,168.254,168.342,168.298,11.834,0.448,0.926,10.661,1.614,-0.002
750,154.75,154.8,168.342,168.43,168.386,5.048,0.358,0.499,3.557,1.39,0.189
751,154.8,154.85,168.43,168.518,168.474,1.634,0.283,0.227,1.251,0.338,0.118
752,154.85,154.9,168.518,168.606,168.562,5.754,0.175,0.564,5.091,0.945,0.121
753,154.9,154.95,168.606,168.694,168.65,9.695,0.159,0.742,8.935,1.588,-0.037
754,154.95,155,168.694,168.782,168.738,4.078,0.256,0.802,2.997,1.101,0.541
755,155,155.05,168.782,168.87,168.826,1.528,0.593,0.708,1.3,0.28,0.594
756,155.05,155.1,168.87,168.958,168.914,1.54,0.936,1.204,1.198,0.246,1.099
757,155.1,155.15,168.958,169.07,169.014,1.302,0.802,1.094,1.071,0.198,1.001
758,155.15,155.2,169.07,169.205,169.138,4.99,0.283,1.125,4.612,1.064,0.724
759,155.2,155.25,169.205,169.341,169.273,12.881,0.189,1.372,12.099,1.565,0.318
760,155.25,155.3,169.341,169.476,169.409,6.373,0.161,0.689,5.973,1.202,0.169
761,155.3,155.35,169.476,169.611,169.544,5.666,0.15,0.6,4.61,1.171,0.198
762,155.35,155.4,169.611,169.746,169.679,4.209,0.213,0.675,4.234,0.403,0.306
763,155.4,155.45,169.746,169.881,169.814,1.445,0.422,0.742,1.018,0.199,0.653
764,155.45,155.5,169.881,170.011,169.946,0.191,0.38,0.606,0.098,0.022,0.598
765,155.5,155.56,170.011,170.121,170.066,2.341,0.445,0.917,1.871,0.316,0.754
768,155.56,155.6,170.121,170.195,170.158,1.974,0.317,0.774,1.718,0.323,0.624
769,155.6,155.65,170.195,170.286,170.241,4.028,0.513,0.752,2.934,0.811,0.497
770,155.65,155.7,170.286,170.378,170.332,10.128,0.474,1.106,9.477,1.488,0.28
771,155.7,155.75,170.378,170.47,170.424,7.268,0.331,0.637,5.841,1.596,0.128
772,155.75,155.8,170.47,170.561,170.516,11.241,0.305,1.253,10.66,1.55,0.325
773,155.8,155.85,170.561,170.653,170.607,4.072,0.204,0.563,3.469,0.733,0.261
774,155.85,155.9,170.653,170.745,170.699,8.05,0.128,1.02,7.4,1.378,0.375
775,155.9,155.95,170.745,170.837,170.791,1.2,0.284,0.623,0.787,0.483,0.555
776,155.95,156,170.837,170.928,170.883,0.766,0.274,0.802,0.632,0.12,0.747
777,156,156.05,170.928,171.021,170.975,0.693,0.233,0.657,0.601,0.116,0.604
778,156.05,156.1,171.021,171.115,171.068,0.617,0.37,0.743,0.465,0.086,0.703
779,156.1,156.15,171.115,171.209,171.162,1.533,0.253,0.663,1.331,0.247,0.548
780,156.15,156.2,171.209,171.303,171.256,5.772,0.218,1.394,5.546,1.172,0.911
781,156.2,156.25,171.303,171.397,171.35,7.168,0.196,0.948,6.46,1.265,0.386
782,156.25,156.3,171.397,171.491,171.444,5.897,0.167,0.634,5.076,1.26,0.192
783,156.3,156.35,171.491,171.585,171.538,5.642,0.218,0.601,4.996,0.981,0.166
784,156.35,156.4,171.585,171.679,171.632,8.698,0.161,0.833,7.437,1.505,0.185
785,156.4,156.45,171.679,171.773,171.726,5.473,0.155,0.65,4.353,1.4,0.271
786,156.45,156.5,171.773,171.867,171.82,2.596,0.361,0.903,2.216,0.467,0.71
787,156.5,156.55,171.867,171.961,171.914,0.503,0.241,0.479,0.481,0.081,0.437
788,156.57,156.62,171.998,172.1,172.049,1.4,0.341,0.888,1.17,0.208,0.786
789,156.62,156.67,172.1,172.203,172.152,1.272,0.554,0.89,0.914,0.176,0.81
790,156.67,156.72,172.203,172.305,172.254,4.265,0.375,0.512,3.243,0.852,0.23
791,156.72,156.77,172.305,172.408,172.357,12.402,0.226,0.72,10.992,2.001,-0.238
792,156.77,156.82,172.408,172.51,172.459,8.852,0.215,0.721,7.666,1.518,0.053
793,156.82,156.87,172.51,172.613,172.562,3.812,0.199,0.508,3.364,0.709,0.215
794,156.87,156.92,172.613,172.715,172.664,2.018,0.18,0.328,1.786,0.34,0.172
795,156.92,156.97,172.715,172.818,172.767,2.13,0.459,0.742,1.725,0.393,0.592
796,156.97,157.02,172.818,172.92,172.869,1.233,0.379,0.56,1.056,0.191,0.468
797,157.02,157.07,172.92,173.019,172.97,2.722,0.727,1.03,2.222,0.392,0.836
798,157.07,157.12,173.019,173.104,173.062,1.612,0.577,0.819,1.189,0.322,0.716
799,157.12,157.17,173.104,173.189,173.147,2.992,0.441,0.435,2.54,0.438,0.213
800,157.17,157.22,173.189,173.274,173.232,2.703,0.437,0.411,2.3,0.471,0.211
801,157.22,157.27,173.274,173.359,173.317,2.035,0.302,0.293,1.716,0.352,0.143
802,157.27,157.32,173.359,173.445,173.402,1.82,0.201,0.257,1.556,0.281,0.121
803,157.32,157.37,173.445,173.53,173.488,1.105,0.195,0.253,1.055,0.222,0.161
804,157.37,157.42,173.53,173.615,173.573,2.143,0.155,0.534,1.937,0.428,0.365
805,157.42,157.47,173.615,173.7,173.658,1.574,0.121,0.406,1.389,0.311,0.285
806,157.47,157.52,173.7,173.785,173.743,1.491,0.082,0.366,1.326,0.277,0.251
809,157.54,157.58,173.819,173.888,173.854,1.712,0.549,0.735,1.216,0.202,0.629
810,157.58,157.62,173.888,173.956,173.922,3.512,0.493,0.993,2.988,0.573,0.733
811,157.62,157.67,173.956,174.043,174,0.932,0.57,0.611,0.632,0.129,0.556
812,157.67,157.72,174.043,174.132,174.088,1.237,0.421,0.69,0.908,0.175,0.611
813,157.72,157.77,174.132,174.221,174.177,4.662,0.22,0.696,4.086,0.819,0.34
814,157.77,157.82,174.221,174.31,174.266,10.035,0.204,1.034,9.192,1.668,0.234
815,157.82,157.87,174.31,174.399,174.355,13.261,0.207,1.269,12.361,2.226,0.192
816,157.87,157.92,174.399,174.488,174.444,8.13,0.156,0.581,6.742,1.773,-0.006
817,157.92,157.97,174.488,174.578,174.533,8.3,0.154,0.929,7.971,1.401,0.234
818,157.97,158.02,174.578,174.667,174.623,4.787,0.162,0.637,4.219,0.87,0.269
819,158.02,158.07,174.667,174.756,174.712,1.793,0.276,0.75,1.606,0.362,0.61
820,158.07,158.12,174.756,174.845,174.801,0.73,0.294,0.666,0.487,0.101,0.623
821,158.12,158.17,174.845,174.934,174.89,1.2,0.463,0.761,0.862,0.164,0.686
822,158.17,158.22,174.934,175.036,174.985,2.448,0.597,1.311,1.906,0.345,1.145
823,158.22,158.27,175.036,175.174,175.105,0.322,0.306,0.75,0.207,0.046,0.732
824,158.27,158.32,175.174,175.311,175.243,0.899,0.268,0.688,0.728,0.144,0.624
825,158.32,158.37,175.311,175.449,175.38,3.829,0.223,1.011,3.425,0.851,0.712
826,158.37,158.42,175.449,175.587,175.518,4.556,0.23,0.49,3.959,0.72,0.145
827,158.42,158.47,175.587,175.725,175.656,6.162,0.251,0.727,5.455,1.149,0.252
828,158.47,158.5,175.725,175.807,175.766,5.002,0.337,0.794,4.617,0.911,0.392
829,158.5,158.55,175.807,175.945,175.876,0.771,0.745,1.088,0.442,0.082,1.05
830,158.55,158.6,175.945,176.068,176.007,2.013,0.602,0.918,1.454,0.263,0.791
831,158.6,158.65,176.068,176.181,176.125,5.36,0.393,1.311,4.268,0.794,0.939
832,158.65,158.7,176.181,176.294,176.238,3.69,0.225,0.816,2.743,0.845,0.577
833,158.7,158.75,176.294,176.407,176.351,7.13,0.208,0.693,6.496,1.013,0.127
834,158.75,158.8,176.407,176.52,176.464,4.375,0.172,0.508,3.807,0.708,0.177
835,158.8,158.85,176.52,176.633,176.577,5.551,0.138,0.649,4.663,0.961,0.243
836,158.85,158.9,176.633,176.747,176.69,6.948,0.138,0.883,6.467,1.273,0.32
837,158.9,158.95,176.747,176.86,176.804,3.446,0.25,0.905,3.042,0.735,0.64
838,158.95,159,176.86,176.973,176.917,1.98,0.413,1.383,1.519,0.318,1.251
839,159,159.05,176.973,177.079,177.026,1.117,0.61,1.219,0.764,0.126,1.153
840,159.05,159.1,177.079,177.183,177.131,1.323,0.53,0.69,0.999,0.203,0.603
841,159.1,159.15,177.183,177.286,177.235,5.132,0.415,0.878,4.29,0.882,0.504
842,159.15,159.2,177.286,177.39,177.338,5.428,0.458,0.66,4.885,0.875,0.235
843,159.2,159.25,177.39,177.494,177.442,3.209,0.443,0.505,2.814,0.558,0.26
844,159.25,159.3,177.494,177.598,177.546,5.746,0.226,0.73,5.867,1.057,0.219
845,159.3,159.35,177.598,177.701,177.65,7.548,0.227,0.845,6.821,1.296,0.251
